MONTH,AVG_PARTITIONBY,SUBDIVISION
JUL,278.03333333333336,TELANGANA
JUN,146.31666666666666,TELANGANA
MAY,24.616666666666664,TELANGANA
JUL,212.20000000000002,SOUTH INTERIOR KARNATAKA
JUN,148.28333333333333,SOUTH INTERIOR KARNATAKA
MAY,95.89999999999999,SOUTH INTERIOR KARNATAKA
JUL,241.11666666666667,MADHYA MAHARASHTRA
JUN,136.70000000000002,MADHYA MAHARASHTRA
MAY,11.65,MADHYA MAHARASHTRA
JUL,106.91666666666667,HARYANA DELHI & CHANDIGARH
JUN,43.416666666666664,HARYANA DELHI & CHANDIGARH
MAY,11.416666666666666,HARYANA DELHI & CHANDIGARH
